name,brand,price,store,imgLink,productLink,storeImgLink
"dell inspiron 15 3511 / i5 1135g7 / 8gb / 512gb ssd / nvidia mx 350 2gb gddr5 / 15.6"" fhd",dell,109900,daraz,https://static-01.daraz.com.np/p/846e240977a4be28f0c39bdd41298968.jpg,//www.daraz.com.np/products/dell-inspiron-15-3511-i5-1135g7-8gb-512gb-ssd-nvidia-mx-350-2gb-gddr5-156-fhd-i113790612-s1030951016.html?search=1,https://superdesk-pro-c.s3.amazonaws.com/sd-nepalitimes/20221109141144/636baf8d9c7e80680e078059png.png
inspiron 15 3515  amd ryzen 5 3450u  8gb 256ssd  radeon vega 8  fhd  win11  free dell backpack & 1 year insurance,inspiron,82900,daraz,https://static-01.daraz.com.np/p/0676dde4e3615c1fb3c77c9125d46a57.jpg,//www.daraz.com.np/products/inspiron-15-3515-amd-ryzen-5-3450u-8gb-256ssd-radeon-vega-8-fhd-win11-free-dell-backpack-1-year-insurance-i113789460-s1030945124.html?search=1,https://superdesk-pro-c.s3.amazonaws.com/sd-nepalitimes/20221109141144/636baf8d9c7e80680e078059png.png
"dell inspiron 15 5515 / amd ryzen 7-5700u / 8gb / 512gb ssd / radeon graphics / 15.6"" fhd",dell,122900,daraz,https://static-01.daraz.com.np/p/e36de05fd767ac380cf9fb85d679c4d4.jpg,//www.daraz.com.np/products/dell-inspiron-15-5515-amd-ryzen-7-5700u-8gb-512gb-ssd-radeon-graphics-156-fhd-i111495851-s1030207071.html?search=1,https://superdesk-pro-c.s3.amazonaws.com/sd-nepalitimes/20221109141144/636baf8d9c7e80680e078059png.png
dell vostro 3510 - i3 1115g4  8gb  256gb ssd  ubt black,dell,75900,daraz,https://static-01.daraz.com.np/p/a2c267176a0a14c272283db7baff4170.jpg,//www.daraz.com.np/products/dell-vostro-3510-i3-1115g4-8gb-256gb-ssd-ubt-black-i109790956-s1029732838.html?search=1,https://superdesk-pro-c.s3.amazonaws.com/sd-nepalitimes/20221109141144/636baf8d9c7e80680e078059png.png
"dell vostro 3510 / i5-1135g7 / 4gb / 1tb hdd / 15.6"" fhd",dell,86900,daraz,https://static-01.daraz.com.np/p/c8ca102178693608d3f40d19ef7185ce.jpg,//www.daraz.com.np/products/dell-vostro-3510-i5-1135g7-4gb-1tb-hdd-156-fhd-i109486019-s1029612314.html?search=1,https://superdesk-pro-c.s3.amazonaws.com/sd-nepalitimes/20221109141144/636baf8d9c7e80680e078059png.png
"dell inspiron 15 3505 / amd ryzen 7 3700u / 8gb / 512gb ssd / radeon vega 10 graphics / 15.6"" fhd",dell,105900,daraz,https://static-01.daraz.com.np/p/95fc96be061ce1f0a39fb5692803ced2.jpg,//www.daraz.com.np/products/dell-inspiron-15-3505-amd-ryzen-7-3700u-8gb-512gb-ssd-radeon-vega-10-graphics-156-fhd-i109481338-s1031742423.html?search=1,https://superdesk-pro-c.s3.amazonaws.com/sd-nepalitimes/20221109141144/636baf8d9c7e80680e078059png.png
"dell vostro 3500 / i5-1135g7 / 8gb / 256gb / 2gb nvidia mx330 / 15.6"" fhd",dell,99900,daraz,https://static-01.daraz.com.np/p/c3e685ae385e56b96504a306181d471d.jpg,//www.daraz.com.np/products/dell-vostro-3500-i5-1135g7-8gb-256gb-2gb-nvidia-mx330-156-fhd-i109477675-s1029604911.html?search=1,https://superdesk-pro-c.s3.amazonaws.com/sd-nepalitimes/20221109141144/636baf8d9c7e80680e078059png.png
"dell inspiron  3501 / i5-1135g7 / 8gb / 512gb / nvidia geforce mx330 2gb / 15"" fhd",dell,109900,daraz,https://static-01.daraz.com.np/p/747d067e853917d59fb2dda9a62db6e7.jpg,//www.daraz.com.np/products/dell-inspiron-3501-i5-1135g7-8gb-512gb-nvidia-geforce-mx330-2gb-15-fhd-i109477174-s1031742436.html?search=1,https://superdesk-pro-c.s3.amazonaws.com/sd-nepalitimes/20221109141144/636baf8d9c7e80680e078059png.png
"dell inspiron 7306 2 in 1 / i5-1135g7 / 8gb / 512gb / 13.3"" fhd",dell,169900,daraz,https://static-01.daraz.com.np/p/d716dae02c865305cd43f48a84322aca.jpg,//www.daraz.com.np/products/dell-inspiron-7306-2-in-1-i5-1135g7-8gb-512gb-133-fhd-i109474856-s1031742378.html?search=1,https://superdesk-pro-c.s3.amazonaws.com/sd-nepalitimes/20221109141144/636baf8d9c7e80680e078059png.png
"dell inspiron 15 3505 / amd ryzen 7 3700u / 8gb / 512gb ssd / radeon vega 10 graphics / 15.6"" fhd",dell,105900,daraz,https://static-01.daraz.com.np/p/922698bec49b0f3a17f7b1b45147d96f.jpg,//www.daraz.com.np/products/dell-inspiron-15-3505-amd-ryzen-7-3700u-8gb-512gb-ssd-radeon-vega-10-graphics-156-fhd-i109474855-s1031742427.html?search=1,https://superdesk-pro-c.s3.amazonaws.com/sd-nepalitimes/20221109141144/636baf8d9c7e80680e078059png.png
dell inspiron 15 3511  i5 1135g7  4gb  1tb  nvidia mx 350 2gb gddr5  fhd  office 2019,dell,94900,daraz,https://static-01.daraz.com.np/p/8ac6da5969071680442515b6ee88b5f0.jpg,//www.daraz.com.np/products/dell-inspiron-15-3511-i5-1135g7-4gb-1tb-nvidia-mx-350-2gb-gddr5-fhd-office-2019-i108718726-s1029370038.html?search=1,https://superdesk-pro-c.s3.amazonaws.com/sd-nepalitimes/20221109141144/636baf8d9c7e80680e078059png.png
